queryid,geneid,C_RawCounts,T_RawCounts,C_Meantpm,T_Meantpm,Regulation,RealFC,PPDE,identity,evalue,bitscore,bitscore2,querylength,Alignment_vs_Q_SeqLength,subjectid,ID,subjectlength,Alignment_vs_S_SeqLength,subjectdescription,GO,PFAM,Panther,KEGG,KEGGec,KO,KOGAnnotation,taxon1,taxon2,taxon3,taxon4,taxon5,taxon6,Taxonomy,subjectid_2,taxon6_2,bitscore_2,bitscore2_2,keywords_2,subjectdescription_2,GO_2,PFAM_2,Panther_2,KEGG_2,KEGGec_2,KO_2,KOGAnnotation_2
Salix_HiSeq_c597776_g3_i4|m.8,Salix_HiSeq_c597776_g3_i4,14,119,0.21,0.91,Treatment,8.73,0.98,38.85,8.00E-24,106,36,158,98.73,gi|803180015|emb|CFW91781.1|,803180015,465,33.76,Uncharacterised protein [Bordetella pertussis],0,0,0,0,0,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Alcaligenaceae,Bordetella,Bordetella pertussis,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis,gi|803180015|emb|CFW91781.1|,Bordetella pertussis,106,36,"[('pertussis]', 1), ('Uncharacterised', 1), ('[Bordetella', 1)]",Uncharacterised protein [Bordetella pertussis],0,0,0,0,0,0,0
Salix_HiSeq_c601467_g1_i4|m.10,Salix_HiSeq_c601467_g1_i4,24,178,0.29,1.17,Treatment,7.93,0.96,61.73,5.00E-21,92,59,109,74.31,gi|801921967|emb|CFN73425.1|,801921967,104,77.88,Uncharacterised protein [Bordetella pertussis],0,0,0,0,0,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Alcaligenaceae,Bordetella,Bordetella pertussis,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis,gi|801921967|emb|CFN73425.1|,Bordetella pertussis,92,59,"[('pertussis]', 1), ('Uncharacterised', 1), ('[Bordetella', 1)]",Uncharacterised protein [Bordetella pertussis],0,0,0,0,0,0,0
Salix_HiSeq_c597038_g6_i1|m.3,Salix_HiSeq_c597038_g6_i1,8,61,0.40,1.66,Treatment,7.89,0.98,86.89,8.00E-107,338,89,185,98.92,sp|Q3ILP9|RPOB_PSEHT,Q3ILP9,1341,13.65,DNA-directed RNA polymerase subunit beta,GO:0003677;GO:0003899;GO:0032549;GO:0006351,PF04563;PF04561;PF04565;PF10385;PF00562;PF04560,PTHR20856,pha:PSHAa0222,0,K03043,0,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas,sp|Q3ILP9|RPOB_PSEHT;tr|A0A090RCI7|A0A090RCI7_9VIBR;gi|684605757|dbj|GAL12911.1|,Pseudoalteromonas;Vibrio;Vibrio sp. C7,338;332;332,89;87;87,"[('RNA', 3), ('polymerase', 3), ('beta', 3), ('subunit', 3), ('DNA-directed', 3)]",DNA-directed RNA polymerase subunit beta;DNA-directed RNA polymerase beta subunit;DNA-directed RNA polymerase beta subunit [Vibrio sp. C7],GO:0003677;GO:0003899;GO:0032549;GO:0006351;GO:0003677,PF04563;PF04561;PF04565;PF10385;PF00562;PF04560,PTHR20856;PTHR20856,pha:PSHAa0222;0,0,K03043;0,0
Salix_HiSeq_c49513_g1_i1|m.1,Salix_HiSeq_c49513_g1,59,7,3.45,0.27,Control,0.07,1.00,42.17,1.00E-12,76,46,1537,16.20,tr|Q481I3|Q481I3_COLP3,Q481I3,169,48.52,Phosphinothricin N-acetyltransferase,GO:0008080,0,0, cps:CPS_2571; ,0, K03823; ,0,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Colwellia,tr|Q481I3|Q481I3_COLP3;tr|D9WA37|D9WA37_9ACTO;tr|D7C1T0|D7C1T0_STRBB;tr|D2BA97|D2BA97_STRRD;tr|D6KCH6|D6KCH6_9ACTO;tr|S3C086|S3C086_9ACTO;tr|R4WPN7|R4WPN7_9BURK;tr|A4C427|A4C427_9GAMM;tr|C6W9P6|C6W9P6_ACTMD;tr|A0ADA9|A0ADA9_STRAM,,76;75;76;71;71;71;70;69;68;69,46;42;41;40;40;39;38;38;36;36,"[('Phosphinothricin', 5), ('N-acetyltransferase', 4), ('acetyltransferase', 3), ('GNAT', 2), ('family', 2)]","Phosphinothricin N-acetyltransferase;GNAT family toxin-antitoxin system, toxin component;Phosphinothricin acetyltransferase;Uncharacterized protein;Phosphinothricin N-acetyltransferase (Antibiotic resistance) protein;Phosphinothricin N-acetyltransferase;GCN5-related N-acetyltransferase;Putative acetyltransferase",GO:0008080;GO:0008080;GO:0008080,0,0,cps:CPS_2571;0;sbh:SBI_09013;sro:Sros_5144;buo:BRPE64_ACDS10760;ami:Amir_3361,0,K03823;0;K03823,0
Salix_HiSeq_c596019_g1_i1|m.15,Salix_HiSeq_c596019_g1_i1,8,66,0.07,0.30,Treatment,7.38,0.98,49.47,3.00E-18,91,49,127,74.80,tr|M3TVL4|M3TVL4_ENTHI,M3TVL4,752,12.63,Uncharacterized protein,0,0,0,0,0,0,0,Eukaryota,Amoebozoa,Archamoebae,Archamoebae,Entamoebidae,Entamoeba,Eukaryota;Amoebozoa;Archamoebae;Entamoebidae;Entamoeba,tr|M3TVL4|M3TVL4_ENTHI;gi|459657256|gb|EMH73405.1|,Entamoeba;Entamoeba histolytica HM-1:IMSS-B,91;91,49;49,"[('EHI8A_167850', 1), ('Uncharacterized', 1), ('hypothetical', 1), ('HM-1:IMSS-B]', 1), ('histolytica', 1)]",Uncharacterized protein;hypothetical protein EHI8A_167850 [Entamoeba histolytica HM-1:IMSS-B],0,0,0,0,0,0,0
Salix_HiSeq_c596019_g1_i7|m.13,Salix_HiSeq_c596019_g1_i7,7,66,0.07,0.30,Treatment,8.75,0.99,49.47,3.00E-18,91,49,127,74.80,tr|M3TVL4|M3TVL4_ENTHI,M3TVL4,752,12.63,Uncharacterized protein,0,0,0,0,0,0,0,Eukaryota,Amoebozoa,Archamoebae,Archamoebae,Entamoebidae,Entamoeba,Eukaryota;Amoebozoa;Archamoebae;Entamoebidae;Entamoeba,tr|M3TVL4|M3TVL4_ENTHI;gi|459657256|gb|EMH73405.1|,Entamoeba;Entamoeba histolytica HM-1:IMSS-B,91;91,49;49,"[('EHI8A_167850', 1), ('Uncharacterized', 1), ('hypothetical', 1), ('HM-1:IMSS-B]', 1), ('histolytica', 1)]",Uncharacterized protein;hypothetical protein EHI8A_167850 [Entamoeba histolytica HM-1:IMSS-B],0,0,0,0,0,0,0
Salix_HiSeq_c601219_g2_i1|m.1,Salix_HiSeq_c601219_g2_i1,10,96,0.10,0.40,Treatment,7.73,0.99,99.67,0.00E+00,1274,100,604,99.83,gi|597502379|gb|AHN10448.1|,597502379,762,79.13,HTB2-GUS [Binary vector pFGUS3],0,0,0,0,0,0,0,other sequences,artificial sequences,vectors,artificial sequences,vectors,Binary vector pFGUS3,other sequences;artificial sequences;vectors;Binary vector pFGUS3,gi|597502379|gb|AHN10448.1|;tr|U4Q148|U4Q148_9RHIZ;sp|P05804|BGLR_ECOLI,Binary vector pFGUS3;Rhizobium;Escherichia coli,1274;1265;1264,100;99;99,"[('HTB2-GUS', 1), ('pFGUS3]', 1), ('Beta-D-glucuronidase', 1), ('vector', 1), ('Beta-glucuronidase', 1)]",HTB2-GUS [Binary vector pFGUS3];Beta-D-glucuronidase;Beta-glucuronidase,GO:0004566;GO:0005975;GO:0005829;GO:0019391;GO:0006027,PF00703;PF02836;PF02837;PF02837,0,rir:BN877_II1269;ecj:JW1609;eco:b1617,0,K01195;K01195,0
Salix_HiSeq_c601219_g2_i4|m.1,Salix_HiSeq_c601219_g2_i4,2,49,0.02,0.26,Treatment,18.70,1.00,99.67,0,1274,100,604,99.83,gi|597502379|gb|AHN10448.1|,597502379,762,79.13,HTB2-GUS [Binary vector pFGUS3],0,0,0,0,0,0,0,other sequences,artificial sequences,vectors,artificial sequences,vectors,Binary vector pFGUS3,other sequences;artificial sequences;vectors;Binary vector pFGUS3,gi|597502379|gb|AHN10448.1|;tr|U4Q148|U4Q148_9RHIZ;sp|P05804|BGLR_ECOLI,Binary vector pFGUS3;Rhizobium;Escherichia coli,1274;1265;1264,100;99;99,"[('HTB2-GUS', 1), ('pFGUS3]', 1), ('Beta-D-glucuronidase', 1), ('vector', 1), ('Beta-glucuronidase', 1)]",HTB2-GUS [Binary vector pFGUS3];Beta-D-glucuronidase;Beta-glucuronidase,GO:0004566;GO:0005975;GO:0005829;GO:0019391;GO:0006027,PF00703;PF02836;PF02837;PF02837,0,rir:BN877_II1269;ecj:JW1609;eco:b1617,0,K01195;K01195,0
Salix_HiSeq_c555414_g4_i1|m.1,Salix_HiSeq_c555414_g4_i1,217,41,26.80,4.22,Control,0.22,1.00,41.38,3.00E-23,99,41,146,78.08,tr|A0A0J5PNQ2|A0A0J5PNQ2_ASPFM,A0A0J5PNQ2,123,94.31,Centromere protein V,GO:0016846,PF04828;PF04828,0,0,0,0,0,Eukaryota,Fungi,Dikarya,Aspergillaceae,Aspergillus,Aspergillus,Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus,tr|A0A0J5PNQ2|A0A0J5PNQ2_ASPFM;gi|846912433|gb|KMK58301.1|,Aspergillus;Aspergillus fumigatus Z5,99;99,41;41,"[('Centromere', 2), ('[Aspergillus', 1), ('fumigatus', 1), ('Z5]', 1)]",Centromere protein V;Centromere protein V [Aspergillus fumigatus Z5],GO:0016846,PF04828;PF04828,0,0,0,0,0
Salix_HiSeq_c602116_g1_i2|m.4,Salix_HiSeq_c602116_g1_i2,18,151,0.31,1.37,Treatment,8.69,0.98,100,0.00E+00,656,100,328,99.70,tr|Q5MRA3|Q5MRA3_BACTU,Q5MRA3,327,100.00,Putative uncharacterized protein,0,0,0,0,0,0,0,Bacteria,Firmicutes,Bacilli,Bacillaceae,Bacillus,Bacillus cereus group,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus group,tr|Q5MRA3|Q5MRA3_BACTU;gi|50346908|gb|AAT75160.1|,Bacillus cereus group;Bacillus thuringiensis serovar shandongiensis,656;656,100;100,"[('Putative', 1), ('uncharacterized', 1), ('shandongiensis]', 1), ('serovar', 1), ('[Bacillus', 1)]",Putative uncharacterized protein;hypothetical protein [Bacillus thuringiensis serovar shandongiensis],0,0,0,0,0,0,0
Salix_HiSeq_c378094_g1_i1|m.1,Salix_HiSeq_c378094_g1,0,141,0.00,32.88,Treatment,7012.86,1.00,46.77,1.00E-06,51,40,209,89.00,tr|G8N563|G8N563_GEOTH,G8N563,64,96.88,Uncharacterized protein,0,0,0,0,0,0,0,Bacteria,Firmicutes,Bacilli,Bacillaceae,Geobacillus,Geobacillus thermoleovorans group,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Geobacillus;Geobacillus thermoleovorans group,tr|G8N563|G8N563_GEOTH;tr|G8MZA8|G8MZA8_GEOTH;tr|G8N0X1|G8N0X1_GEOTH;tr|E6QPT9|E6QPT9_9ZZZZ;tr|R6VY11|R6VY11_9FIRM,,51;50;50;47;48,40;40;40;39;37,"[('Uncharacterized', 5)]",Uncharacterized protein;Uncharacterized protein;Uncharacterized protein,0,0,0,0,0,0,0
Salix_HiSeq_c488668_g1_i1|m.1,Salix_HiSeq_c488668_g1,22,1,7.82,0.25,Control,0.03,1.00,72.22,2.00E-05,50,67,246,43.90,tr|G8N016|G8N016_GEOTH,G8N016,292,12.33,Uncharacterized protein,0,0,0,0,0,0,0,Bacteria,Firmicutes,Bacilli,Bacillaceae,Geobacillus,Geobacillus thermoleovorans group,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Geobacillus;Geobacillus thermoleovorans group,tr|G8N016|G8N016_GEOTH;tr|G8N320|G8N320_GEOTH,,50;50,67;67,"[('Uncharacterized', 2)]",Uncharacterized protein;Uncharacterized protein,0,0,0,0,0,0,0
Salix_HiSeq_c579617_g1_i2|m.2,Salix_HiSeq_c579617_g1,2,20,0.72,4.16,Treatment,5.26,0.99,60.87,2.00E-07,54,57,257,53.70,tr|G8MZA8|G8MZA8_GEOTH,G8MZA8,114,40.35,Uncharacterized protein,0,0,0,0,0,0,0,Bacteria,Firmicutes,Bacilli,Bacillaceae,Geobacillus,Geobacillus thermoleovorans group,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Geobacillus;Geobacillus thermoleovorans group,tr|G8MZA8|G8MZA8_GEOTH,,54,57,"[('Uncharacterized', 1)]",Uncharacterized protein,0,0,0,0,0,0,0
Salix_HiSeq_c569655_g1_i1|m.1,Salix_HiSeq_c569655_g1,15,4,4.29,0.99,Control,0.25,1.00,88.89,2.00E-07,55,90,339,23.89,tr|A3IDC9|A3IDC9_9BACI,A3IDC9,115,23.48,Uncharacterized protein,0,0,0,0,0,0,0,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus,tr|A3IDC9|A3IDC9_9BACI,,55,90,"[('Uncharacterized', 1)]",Uncharacterized protein,0,0,0,0,0,0,0
Salix_HiSeq_c579617_g1_i1|m.1,Salix_HiSeq_c579617_g1,0,112,0.39,22.77,Treatment,52.76,1.00,78.95,4.00E-05,35,83,258,22.09,tr|I0UMX8|I0UMX8_BACLI,I0UMX8,154,12.34,Uncharacterized protein,0,0,0,0,0,0,0,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus,tr|I0UMX8|I0UMX8_BACLI;tr|M5R870|M5R870_9BACI,,35;35,83;82,"[('Uncharacterized', 2)]",Uncharacterized protein;Uncharacterized protein,0,0,0,0,0,0,0
Salix_HiSeq_c598025_g4_i1|m.1,Salix_HiSeq_c598025_g4,10,298,1.52,31.94,Treatment,20.15,1.00,56.06,3.00E-13,72,49,423,46.81,tr|D4PZP5|D4PZP5_LISMN,D4PZP5,110,60.00,Uncharacterized protein,0,0,0,0,0,0,0,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae;Listeria,tr|D4PZP5|D4PZP5_LISMN;tr|D5GZ88|D5GZ88_LACCS;tr|V6F3Z3|V6F3Z3_9PROT;tr|C6J7T3|C6J7T3_9BACL;tr|Q3BKI1|Q3BKI1_9PROT;tr|A5ZQM1|A5ZQM1_9FIRM;tr|A5ZTV7|A5ZTV7_9FIRM;tr|B0A7G6|B0A7G6_9FIRM;tr|K8EDY4|K8EDY4_CARML;tr|A7B8Q0|A7B8Q0_RUMGN,,72;76;78;65;78;74;74;70;65;65,49;48;45;45;45;42;42;42;40;40,"[('Uncharacterized', 9), ('Conserved', 1), ('(Fragment)', 1)]",Uncharacterized protein;Conserved protein;Uncharacterized protein;Uncharacterized protein (Fragment);Uncharacterized protein,0,0,0,lcr:LCRIS_00063;mgy:MGMSR_1983;0;cml:BN424_1031,0,0,0
Salix_HiSeq_c571407_g2_i1|m.1,Salix_HiSeq_c571407_g2,2,26,0.34,7.67,Treatment,28.94,1.00,57.75,9.00E-14,71,49,371,57.41,tr|F5LB49|F5LB49_9BACI,F5LB49,169,41.42,Uncharacterized protein (Fragment),0,0,0,0,0,0,0,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Caldalkalibacillus,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Caldalkalibacillus,tr|F5LB49|F5LB49_9BACI;tr|Q57J74|Q57J74_SALCH;tr|Q57T06|Q57T06_SALCH,,71;64;63,49;39;39,"[('Uncharacterized', 3), ('(Fragment)', 1)]",Uncharacterized protein (Fragment);Uncharacterized protein;Uncharacterized protein,0,0,0,0,0,0,0
Salix_HiSeq_c583960_g4_i3|m.4,Salix_HiSeq_c583960_g4_i3,13,92,0.43,1.29,Treatment,5.48,0.96,98.46,1.00E-34,125,98,127,51.18,tr|A0A0E1VKX6|A0A0E1VKX6_STAA3,A0A0E1VKX6,65,100.00,Uncharacterized protein (Fragment),0,0,0,0,0,0,0,Bacteria,Firmicutes,Bacilli,Bacilli,Bacillales,Staphylococcus,Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcus,tr|A0A0E1VKX6|A0A0E1VKX6_STAA3;gi|253725392|gb|EES94121.1|,Staphylococcus;Staphylococcus aureus subsp. aureus USA300_TCH959,125;125,98;98,"[('aureus', 2), ('partial', 1), ('Uncharacterized', 1), ('HMPREF0776_1253,', 1), ('subsp.', 1)]","Uncharacterized protein (Fragment);hypothetical protein HMPREF0776_1253, partial [Staphylococcus aureus subsp. aureus USA300_TCH959]",0,0,0,0,0,0,0
