contig,contrast,logFC,logCPM,LR,PValue,FDR,Accession,Fullname,Altnames,Pfam,GO,CellularComponent,Molecular.Function,Biological.Process
contig-60_6876202,binary.seasonlate.and.fall,-9.065007768,5.486294353,8.77025447,0.003061827,0.038570339,B4S099 F2G6D9,50S ribosomal protein L29 {ECO:0000255|HAMAP-Rule:MF_00374},, PF00831;, GO:0005840;GO:0003735;GO:0006412;,  C:ribosome;,  F:structural constituent of ribosome;,  P:translation;
contig-60_2668290,binary.seasonlate.and.fall,-9.032605338,4.785287582,8.70642732,0.0031709,0.03976147,B4RXK9 F2GA48,50S ribosomal protein L13 {ECO:0000255|HAMAP-Rule:MF_01366},, PF00572;, GO:0005840;GO:0003735;GO:0006412;,  C:ribosome;,  F:structural constituent of ribosome;,  P:translation;
contig-60_6912294,binary.seasonlate.and.fall,-9.025584688,5.17255744,8.378031836,0.003797835,0.045991023,B4RSL6 F2G8I9,50S ribosomal protein L35 {ECO:0000255|HAMAP-Rule:MF_00514},, PF01632;, GO:0005840;GO:0003735;GO:0006412;,  C:ribosome;,  F:structural constituent of ribosome;,  P:translation;
contig-60_1928998,binary.seasonlate.and.fall,-8.976191728,4.958841704,10.58544339,0.001139816,0.016531853,,,, , , , , 
contig-60_7435022,binary.seasonlate.and.fall,-8.889318228,4.721820912,12.8031792,0.000346031,0.005735073,Q68W54,Methionine--tRNA ligase {ECO:0000255|HAMAP-Rule:MF_01228},Methionyl-tRNA synthetase {ECO:0000255|HAMAP-Rule:MF_01228};, PF09334;, GO:0005737;GO:0005524;GO:0004825;GO:0006431;,  C:cytoplasm;,  F:ATP binding; F:methionine-tRNA ligase activity;,  P:methionyl-tRNA aminoacylation;
contig-60_3150373,binary.seasonlate.and.fall,-8.830317096,5.265386458,13.97993675,0.000184772,0.003218183,,,, , , , , 
contig-60_7612755,binary.seasonlate.and.fall,-8.823060384,4.536571872,9.585088448,0.00196164,0.026304062,Q28RC3,Nucleoside diphosphate kinase {ECO:0000255|HAMAP-Rule:MF_00451},Nucleoside-2-P kinase {ECO:0000255|HAMAP-Rule:MF_00451};, PF00334;, GO:0005737;GO:0005524;GO:0046872;GO:0004550;GO:0006241;GO:0006183;GO:0006228;,  C:cytoplasm;,  F:ATP binding; F:metal ion binding; F:nucleoside diphosphate kinase activity;,  P:CTP biosynthetic process; P:GTP biosynthetic process; P:UTP biosynthetic process;
contig-60_149345,binary.seasonlate.and.fall,-8.815505566,4.891344681,9.064440508,0.002606283,0.033803507,Q15R45,Trigger factor {ECO:0000255|HAMAP-Rule:MF_00303},PPIase {ECO:0000255|HAMAP-Rule:MF_00303};, PF00254;PF05698;PF05697;, GO:0005737;GO:0003755;GO:0007049;GO:0051301;GO:0006457;GO:0015031;,  C:cytoplasm;,  F:peptidyl-prolyl cis-trans isomerase activity;,  P:cell cycle; P:cell division; P:protein folding; P:protein transport;
contig-60_3142100,binary.seasonlate.and.fall,-8.785369016,5.282083242,13.02563286,0.000307256,0.005152185,Q4FM73,Proline--tRNA ligase {ECO:0000255|HAMAP-Rule:MF_01570},Prolyl-tRNA synthetase {ECO:0000255|HAMAP-Rule:MF_01570};, PF03129;PF00587;, GO:0005737;GO:0005524;GO:0004827;GO:0006433;,  C:cytoplasm;,  F:ATP binding; F:proline-tRNA ligase activity;,  P:prolyl-tRNA aminoacylation;
contig-60_1602045,binary.seasonlate.and.fall,-8.767388974,4.322296515,10.25682253,0.0013618,0.019233747,,,, , , , , 
contig-60_7029092,binary.seasonlate.and.fall,-8.713263829,4.909829928,9.042269672,0.002638079,0.034108226,Q9JVP8 A1IQH2,Na(+)-translocating NADH-quinone reductase subunit A {ECO:0000255|HAMAP-Rule:MF_00425},NQR complex subunit A {ECO:0000255|HAMAP-Rule:MF_00425};NQR-1 subunit A {ECO:0000255|HAMAP-Rule:MF_00425};, PF05896;PF11973;, GO:0016655;GO:0006814;, ,"  F:oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor;",  P:sodium ion transport;
contig-60_480966,binary.seasonlate.and.fall,-8.691797575,4.892072981,9.359304945,0.002218563,0.02931216,B4RVI3 F2G276,Elongation factor Ts {ECO:0000255|HAMAP-Rule:MF_00050},, PF00889;, GO:0005737;GO:0003746;,  C:cytoplasm;,  F:translation elongation factor activity;, 
contig-60_1121491,binary.seasonlate.and.fall,-8.674745531,4.973606166,8.888990036,0.002868954,0.036546914,B7VLE6,50S ribosomal protein L24 {ECO:0000255|HAMAP-Rule:MF_01326},, PF00467;PF17136;, GO:0005840;GO:0019843;GO:0003735;GO:0006412;,  C:ribosome;,  F:rRNA binding; F:structural constituent of ribosome;,  P:translation;
contig-60_7596135,binary.seasonlate.and.fall,-8.467233331,4.892610402,13.69897893,0.000214571,0.003685694,,,, , , , , 
contig-60_6588085,binary.seasonlate.and.fall,-8.419855557,4.395148161,10.90349749,0.000959829,0.014146066,P57478,Metalloprotease TldD homolog,, PF01523;, GO:0008237;, ,  F:metallopeptidase activity;, 
contig-60_2871657,binary.seasonlate.and.fall,-8.399955959,4.056811416,11.49275735,0.000698679,0.01067044,Q3J4L7,Cell division protein FtsQ {ECO:0000255|HAMAP-Rule:MF_00911},, PF03799;PF08478;, GO:0032153;GO:0005887;GO:0090529;GO:0043093;,  C:cell division site; C:integral component of plasma membrane;, ,  P:cell septum assembly; P:FtsZ-dependent cytokinesis;
contig-60_2281940,binary.seasonlate.and.fall,-8.396849804,4.519867429,10.79702872,0.001016631,0.014866721,,,, , , , , 
contig-60_2092613,binary.seasonlate.and.fall,-8.395125289,4.824408798,23.78630562,1.08E-06,3.22E-05,Q4FNR5,Ribosomal RNA small subunit methyltransferase G {ECO:0000255|HAMAP-Rule:MF_00074},16S rRNA 7-methylguanosine methyltransferase {ECO:0000255|HAMAP-Rule:MF_00074};, PF02527;, GO:0005737;GO:0070043;,  C:cytoplasm;,  F:rRNA (guanine-N7-)-methyltransferase activity;, 
contig-60_6212324,binary.seasonlate.and.fall,-8.336220349,4.653306532,10.79853744,0.001015803,0.014864375,F4K410 Q93Y02 Q9FNA8,"Putative elongation factor TypA-like SVR3, chloroplastic",Protein HAPPY ON NORFLURAZON 23 {ECO:0000303|PubMed:21208309};Protein SUPPRESSOR OF VARIEGATION 3 {ECO:0000303|PubMed:21187014};, PF00679;PF00009;PF03144;, GO:0009507;GO:0005525;GO:0003924;GO:0003746;GO:0050821;GO:0009409;GO:0006364;,  C:chloroplast;,  F:GTP binding; F:GTPase activity; F:translation elongation factor activity;,  P:protein stabilization; P:response to cold; P:rRNA processing;
contig-60_3234192,binary.seasonlate.and.fall,-8.335448745,4.811194627,11.21843459,0.000809888,0.012204389,Q92G78,Penicillin-binding protein 1A,, PF17092;PF00912;PF00905;, GO:0016021;GO:0005886;GO:0008658;GO:0008955;GO:0009002;GO:0071555;GO:0009252;GO:0008360;GO:0046677;,  C:integral component of membrane; C:plasma membrane;,  F:penicillin binding; F:peptidoglycan glycosyltransferase activity; F:serine-type D-Ala-D-Ala carboxypeptidase activity;,  P:cell wall organization; P:peptidoglycan biosynthetic process; P:regulation of cell shape; P:response to antibiotic;
contig-60_152,binary.seasonlate.and.fall,-8.317836562,5.49848078,9.880995835,0.001669945,0.022865873,P33698,Succinoglycan biosynthesis transport protein ExoP,, PF01656;PF13807;PF02706;, GO:0016021;GO:0005886;GO:0005524;GO:0045226;GO:0009103;,  C:integral component of membrane; C:plasma membrane;,  F:ATP binding;,  P:extracellular polysaccharide biosynthetic process; P:lipopolysaccharide biosynthetic process;
contig-60_2657256,binary.seasonlate.and.fall,-8.264727665,4.261720504,9.697610994,0.001845077,0.024872974,Q4FNS4,Maf-like protein SAR11_0342 {ECO:0000255|HAMAP-Rule:MF_00528},, PF02545;, GO:0005737;GO:0047429;,  C:cytoplasm;,  F:nucleoside-triphosphate diphosphatase activity;, 
contig-60_6543049,binary.seasonlate.and.fall,-8.243899645,4.921243777,9.051628126,0.00262461,0.033974175,,,, , , , , 
contig-60_627761,binary.seasonlate.and.fall,-8.19847368,4.548490089,14.51465183,0.000139074,0.002480084,A9AZ03,Probable transaldolase {ECO:0000255|HAMAP-Rule:MF_00494},, PF00923;, GO:0005737;GO:0016832;GO:0004801;GO:0005975;GO:0006098;,  C:cytoplasm;,  F:aldehyde-lyase activity; F:sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity;,  P:carbohydrate metabolic process; P:pentose-phosphate shunt;
contig-60_6710981,binary.seasonlate.and.fall,-8.155284696,4.436836128,15.35203347,8.92E-05,0.001650233,C3MBD2,Malate synthase G {ECO:0000255|HAMAP-Rule:MF_00641},, PF01274;, GO:0005737;GO:0004474;GO:0046872;GO:0006097;GO:0006099;,  C:cytoplasm;,  F:malate synthase activity; F:metal ion binding;,  P:glyoxylate cycle; P:tricarboxylic acid cycle;
contig-60_3821039,binary.seasonlate.and.fall,-8.100149352,4.027743806,9.034565691,0.00264922,0.034225338,,,, , , , , 
contig-60_2144649,binary.seasonlate.and.fall,-8.05795697,4.830253823,15.00515409,0.000107218,0.001952076,,,, , , , , 
contig-60_6500156,binary.seasonlate.and.fall,-8.052550085,5.178276513,11.25359843,0.000794688,0.012008376,P50215,Isocitrate dehydrogenase [NADP],IDP;NADP(+)-specific ICDH;Oxalosuccinate decarboxylase;, PF00180;, GO:0004450;GO:0000287;GO:0051287;GO:0006097;GO:0006102;GO:0006099;, ,  F:isocitrate dehydrogenase (NADP+) activity; F:magnesium ion binding; F:NAD binding;,  P:glyoxylate cycle; P:isocitrate metabolic process; P:tricarboxylic acid cycle;
contig-60_5931097,binary.seasonlate.and.fall,-8.011704785,3.957061019,10.8306145,0.000998355,0.01466783,Q58664,Probable branched-chain amino acid transport ATP-binding protein LivF,, PF00005;, GO:0005524;GO:0016887;GO:0015803;, ,  F:ATP binding; F:ATPase activity;,  P:branched-chain amino acid transport;
contig-60_4917918,binary.seasonlate.and.fall,-7.99318082,4.171565036,12.44703658,0.000418656,0.00678478,,,, , , , , 
contig-60_3189600,binary.seasonlate.and.fall,-7.982779486,4.154696472,9.774529014,0.00176946,0.024021101,P75820,N-acetylmuramoyl-L-alanine amidase AmiD,, PF01510;, GO:0009279;GO:0019867;GO:0009392;GO:0008745;GO:0008270;GO:0071555;GO:0009253;GO:0009254;,  C:cell outer membrane; C:outer membrane;,  F:N-acetyl-anhydromuramoyl-L-alanine amidase activity; F:N-acetylmuramoyl-L-alanine amidase activity; F:zinc ion binding;,  P:cell wall organization; P:peptidoglycan catabolic process; P:peptidoglycan turnover;
contig-60_4563119,binary.seasonlate.and.fall,-7.98171078,4.276089748,12.89500589,0.00032946,0.005477003,Q896G4,Gamma-glutamyl phosphate reductase {ECO:0000255|HAMAP-Rule:MF_00412},Glutamate-5-semialdehyde dehydrogenase {ECO:0000255|HAMAP-Rule:MF_00412};Glutamyl-gamma-semialdehyde dehydrogenase {ECO:0000255|HAMAP-Rule:MF_00412};, PF00171;, GO:0005737;GO:0004350;GO:0050661;GO:0055129;,  C:cytoplasm;,  F:glutamate-5-semialdehyde dehydrogenase activity; F:NADP binding;,  P:L-proline biosynthetic process;
contig-60_393958,binary.seasonlate.and.fall,-7.980024622,3.98303005,8.333358482,0.003892363,0.046945472,Q15YB4,50S ribosomal protein L1 {ECO:0000255|HAMAP-Rule:MF_01318},, PF00687;, GO:0015934;GO:0019843;GO:0003735;GO:0000049;GO:0006417;GO:0006412;,  C:large ribosomal subunit;,  F:rRNA binding; F:structural constituent of ribosome; F:tRNA binding;,  P:regulation of translation; P:translation;
contig-60_6709454,binary.seasonlate.and.fall,-7.940330191,4.276442217,14.53787638,0.00013737,0.002456201,P0CZ16 O68024 Q52723,Transketolase,, PF02779;PF02780;PF00456;, GO:0046872;GO:0004802;GO:0006098;GO:0019253;, ,  F:metal ion binding; F:transketolase activity;,  P:pentose-phosphate shunt; P:reductive pentose-phosphate cycle;
contig-60_1403437,binary.seasonlate.and.fall,-7.937416959,4.194681808,11.56976602,0.000670329,0.010304498,Q4FM20,Valine--tRNA ligase {ECO:0000255|HAMAP-Rule:MF_02004},Valyl-tRNA synthetase {ECO:0000255|HAMAP-Rule:MF_02004};, PF08264;PF00133;PF10458;, GO:0005737;GO:0002161;GO:0005524;GO:0004832;GO:0006438;,  C:cytoplasm;,  F:aminoacyl-tRNA editing activity; F:ATP binding; F:valine-tRNA ligase activity;,  P:valyl-tRNA aminoacylation;
contig-60_5361113,binary.seasonlate.and.fall,-7.937296355,4.182587126,12.91853664,0.000325344,0.005416798,,,, , , , , 
contig-60_6160251,binary.seasonlate.and.fall,-7.912256309,4.140794685,13.78420593,0.000205053,0.003535817,,,, , , , , 
contig-60_6529439,binary.seasonlate.and.fall,-7.911605531,4.281032135,8.448162739,0.003654124,0.044678735,B4RT38 F2GAK2,50S ribosomal protein L14 {ECO:0000255|HAMAP-Rule:MF_01367},, PF00238;, GO:0015934;GO:0019843;GO:0003735;GO:0006412;,  C:large ribosomal subunit;,  F:rRNA binding; F:structural constituent of ribosome;,  P:translation;
contig-60_3642739,binary.seasonlate.and.fall,-7.907587511,3.734934431,11.29680328,0.000776407,0.011753744,Q4FNK3,Argininosuccinate lyase {ECO:0000255|HAMAP-Rule:MF_00006},Arginosuccinase {ECO:0000255|HAMAP-Rule:MF_00006};, PF14698;PF00206;, GO:0005737;GO:0004056;GO:0042450;,  C:cytoplasm;,  F:argininosuccinate lyase activity;,  P:arginine biosynthetic process via ornithine;
contig-60_7038689,binary.seasonlate.and.fall,-7.892997707,4.230352252,17.18982558,3.38E-05,0.000677022,,,, , , , , 
contig-60_4860589,binary.seasonlate.and.fall,-7.883032233,4.053541416,13.11506905,0.00029293,0.004947296,,,, , , , , 
contig-60_2816807,binary.seasonlate.and.fall,-7.880263617,4.099821082,14.31754508,0.000154419,0.002728566,O51528,ATP-dependent DNA helicase RecG,, PF00270;PF00271;PF17191;, GO:0005524;GO:0004003;GO:0003677;GO:0006310;GO:0006281;, ,  F:ATP binding; F:ATP-dependent DNA helicase activity; F:DNA binding;,  P:DNA recombination; P:DNA repair;
contig-60_7335932,binary.seasonlate.and.fall,-7.863237583,4.28470441,8.224756828,0.004132274,0.04929822,P44468,Peptidoglycan glycosyltransferase MrdB {ECO:0000255|HAMAP-Rule:MF_02079},Cell elongation protein RodA {ECO:0000255|HAMAP-Rule:MF_02079};Cell wall polymerase {ECO:0000255|HAMAP-Rule:MF_02079};Peptidoglycan polymerase {ECO:0000255|HAMAP-Rule:MF_02079};, PF01098;, GO:0032153;GO:0005887;GO:0015648;GO:0008955;GO:0051301;GO:0071555;GO:0009252;GO:0008360;,  C:cell division site; C:integral component of plasma membrane;,  F:lipid-linked peptidoglycan transporter activity; F:peptidoglycan glycosyltransferase activity;,  P:cell division; P:cell wall organization; P:peptidoglycan biosynthetic process; P:regulation of cell shape;
contig-60_7877961,binary.seasonlate.and.fall,-7.858193941,4.372921606,11.74201784,0.000611047,0.009535937,Q5NQ65,Elongation factor Tu {ECO:0000255|HAMAP-Rule:MF_00118},, PF00009;PF03144;PF03143;, GO:0005737;GO:0005525;GO:0003924;GO:0003746;,  C:cytoplasm;,  F:GTP binding; F:GTPase activity; F:translation elongation factor activity;, 
contig-60_1568932,binary.seasonlate.and.fall,-7.844999437,4.081818727,16.75602387,4.25E-05,0.000834053,A9MRD1,S-adenosylmethionine synthase {ECO:0000255|HAMAP-Rule:MF_00086},MAT {ECO:0000255|HAMAP-Rule:MF_00086};Methionine adenosyltransferase {ECO:0000255|HAMAP-Rule:MF_00086};, PF02773;PF02772;PF00438;, GO:0005737;GO:0005524;GO:0000287;GO:0004478;GO:0006730;GO:0006556;,  C:cytoplasm;,  F:ATP binding; F:magnesium ion binding; F:methionine adenosyltransferase activity;,  P:one-carbon metabolic process; P:S-adenosylmethionine biosynthetic process;
contig-60_86855,binary.seasonlate.and.fall,-7.841119429,4.218956939,8.391618666,0.003769551,0.04580039,Q15TZ5,Phosphate acyltransferase {ECO:0000255|HAMAP-Rule:MF_00019},Acyl-ACP phosphotransacylase {ECO:0000255|HAMAP-Rule:MF_00019};Acyl-[acyl-carrier-protein]--phosphate acyltransferase {ECO:0000255|HAMAP-Rule:MF_00019};Phosphate-acyl-ACP acyltransferase {ECO:0000255|HAMAP-Rule:MF_00019};, PF02504;, GO:0005737;GO:0016747;GO:0006633;GO:0008654;,  C:cytoplasm;,"  F:transferase activity, transferring acyl groups other than amino-acyl groups;",  P:fatty acid biosynthetic process; P:phospholipid biosynthetic process;
contig-60_2388565,binary.seasonlate.and.fall,-7.799739217,3.509001199,11.04341575,0.000890027,0.013266048,Q4FLJ5,Phosphoribosylformylglycinamidine synthase subunit PurQ {ECO:0000255|HAMAP-Rule:MF_00421},Formylglycinamide ribonucleotide amidotransferase subunit I {ECO:0000255|HAMAP-Rule:MF_00421};Glutaminase PurQ {ECO:0000255|HAMAP-Rule:MF_00421};Phosphoribosylformylglycinamidine synthase subunit I {ECO:0000255|HAMAP-Rule:MF_00421};, , GO:0005737;GO:0005524;GO:0004359;GO:0004642;GO:0006189;GO:0006541;,  C:cytoplasm;,  F:ATP binding; F:glutaminase activity; F:phosphoribosylformylglycinamidine synthase activity;,  P:'de novo' IMP biosynthetic process; P:glutamine metabolic process;
contig-60_2224474,binary.seasonlate.and.fall,-7.780541286,4.006244694,14.64950577,0.000129469,0.002323929,Q3J5W7,DNA-directed RNA polymerase subunit omega {ECO:0000255|HAMAP-Rule:MF_00366},RNA polymerase omega subunit {ECO:0000255|HAMAP-Rule:MF_00366};Transcriptase subunit omega {ECO:0000255|HAMAP-Rule:MF_00366};, PF01192;, GO:0003677;GO:0003899;GO:0006351;, ,  F:DNA binding; F:DNA-directed 5'-3' RNA polymerase activity;,"  P:transcription, DNA-templated;"
contig-60_2704637,binary.seasonlate.and.fall,-7.741912283,4.104207815,15.66892272,7.55E-05,0.001417066,P26646 Q2M8W1,Probable acrylyl-CoA reductase AcuI,Acryloyl-coenzyme A reductase AcuI;, PF08240;PF00107;, GO:0005737;GO:0043957;,  C:cytoplasm;,  F:acryloyl-CoA reductase (NADP+) activity;, 
contig-60_53038,binary.seasonlate.and.fall,-7.729308766,4.640542433,14.63187728,0.000130685,0.002343208,,,, , , , , 
contig-60_4970154,binary.seasonlate.and.fall,-7.728913253,4.052122394,10.91099277,0.000955953,0.014098837,Q4FNT6,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase {ECO:0000255|HAMAP-Rule:MF_01014},Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase {ECO:0000255|HAMAP-Rule:MF_01014};, PF00977;, GO:0005737;GO:0003949;GO:0000105;,  C:cytoplasm;,  F:1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity;,  P:histidine biosynthetic process;
contig-60_6907910,binary.seasonlate.and.fall,-7.728780314,3.991752048,14.05841372,0.000177219,0.003104737,Q9JT70 A1ITE8,Dihydropteroate synthase,Dihydropteroate pyrophosphorylase;, PF00809;, GO:0004156;GO:0046872;GO:0046656;GO:0046654;, ,  F:dihydropteroate synthase activity; F:metal ion binding;,  P:folic acid biosynthetic process; P:tetrahydrofolate biosynthetic process;
contig-60_2453188,binary.seasonlate.and.fall,-7.717359719,3.497153505,9.727516791,0.001815296,0.024572286,O29329,Putative branched-chain-amino-acid aminotransferase,Transaminase B;, PF01063;, GO:0052656;GO:0052654;GO:0052655;GO:0009097;GO:0009098;GO:0009099;, ,  F:L-isoleucine transaminase activity; F:L-leucine transaminase activity; F:L-valine transaminase activity;,  P:isoleucine biosynthetic process; P:leucine biosynthetic process; P:valine biosynthetic process;
contig-60_2706112,binary.seasonlate.and.fall,-7.713801732,3.577615933,8.939791293,0.002790246,0.035682578,A8LHQ6,Tol-Pal system protein TolB {ECO:0000255|HAMAP-Rule:MF_00671},, PF07676;PF04052;, GO:0042597;GO:0007049;GO:0051301;GO:0017038;,  C:periplasmic space;, ,  P:cell cycle; P:cell division; P:protein import;
contig-60_1104075,binary.seasonlate.and.fall,-7.694273691,4.049679297,12.60853671,0.000383989,0.006284052,,,, , , , , 
contig-60_2397049,binary.seasonlate.and.fall,-7.686956306,4.486244736,8.245290336,0.004085787,0.048906722,Q98I01,UvrABC system protein B {ECO:0000255|HAMAP-Rule:MF_00204},Excinuclease ABC subunit B {ECO:0000255|HAMAP-Rule:MF_00204};, PF00271;PF04851;PF02151;PF12344;, GO:0005737;GO:0009380;GO:0005524;GO:0016887;GO:0003677;GO:0009381;GO:0006289;GO:0009432;,  C:cytoplasm; C:excinuclease repair complex;,  F:ATP binding; F:ATPase activity; F:DNA binding; F:excinuclease ABC activity;,  P:nucleotide-excision repair; P:SOS response;
contig-60_4598980,binary.seasonlate.and.fall,-7.67146369,3.993107192,8.486769131,0.003577385,0.043953027,P49837,Uncharacterized protein ycf66,ORF99;, PF07444;, GO:0009507;,  C:chloroplast;, , 
contig-60_2313607,binary.seasonlate.and.fall,-7.651930441,3.610813811,11.94531935,0.000547848,0.008652372,P0CAT7 O05725,Alpha-ketoglutarate-dependent dioxygenase AlkB homolog,DNA oxidative demethylase AlkB;, PF13532;, GO:0103053;GO:0046872;GO:0006281;, ,  F:1-ethyladenine demethylase activity; F:metal ion binding;,  P:DNA repair;
contig-60_5389037,binary.seasonlate.and.fall,-7.647759875,4.202924369,13.80664261,0.000202619,0.003497512,Q4FNA2,Ubiquinone biosynthesis O-methyltransferase {ECO:0000255|HAMAP-Rule:MF_00472},2-polyprenyl-6-hydroxyphenol methylase {ECO:0000255|HAMAP-Rule:MF_00472};3-demethylubiquinone 3-O-methyltransferase {ECO:0000255|HAMAP-Rule:MF_00472};, PF08241;, GO:0008425;GO:0008689;GO:0006744;, ,"  F:2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity; F:3-demethylubiquinone-9 3-O-methyltransferase activity;",  P:ubiquinone biosynthetic process;
contig-60_802353,binary.seasonlate.and.fall,-7.633516644,4.373180652,8.445944851,0.003658583,0.044705654,B4S099 F2G6D9,50S ribosomal protein L29 {ECO:0000255|HAMAP-Rule:MF_00374},, PF00831;, GO:0005840;GO:0003735;GO:0006412;,  C:ribosome;,  F:structural constituent of ribosome;,  P:translation;
contig-60_5889107,binary.seasonlate.and.fall,-7.624200713,3.967570199,11.91942871,0.000555515,0.008760826,,,, , , , , 
contig-60_2493326,binary.seasonlate.and.fall,-7.616768306,4.093967715,15.64340768,7.65E-05,0.001434674,Q4FPK2,Phospho-N-acetylmuramoyl-pentapeptide-transferase {ECO:0000255|HAMAP-Rule:MF_00038},UDP-MurNAc-pentapeptide phosphotransferase {ECO:0000255|HAMAP-Rule:MF_00038};, PF00953;PF10555;, GO:0016021;GO:0005886;GO:0008963;GO:0051992;GO:0007049;GO:0051301;GO:0071555;GO:0009252;GO:0008360;,  C:integral component of membrane; C:plasma membrane;,"  F:phospho-N-acetylmuramoyl-pentapeptide-transferase activity; F:UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine:undecaprenyl-phosphate transferase activity;",  P:cell cycle; P:cell division; P:cell wall organization; P:peptidoglycan biosynthetic process; P:regulation of cell shape;
contig-60_1169707,binary.seasonlate.and.fall,-7.616520677,3.812318745,10.27059207,0.001351674,0.019131836,Q4FPL3,DNA ligase {ECO:0000255|HAMAP-Rule:MF_01588},Polydeoxyribonucleotide synthase [NAD(+)] {ECO:0000255|HAMAP-Rule:MF_01588};, PF00533;PF01653;PF03120;, GO:0003911;GO:0046872;GO:0006281;GO:0006260;, ,  F:DNA ligase (NAD+) activity; F:metal ion binding;,  P:DNA repair; P:DNA replication;
contig-60_239016,binary.seasonlate.and.fall,-7.615822631,3.686500286,11.69408326,0.000626992,0.009747731,,,, , , , , 
contig-60_5370511,binary.seasonlate.and.fall,-7.613952114,3.576814083,10.28216628,0.001343222,0.019045003,Q9ZCX2,DNA gyrase subunit B {ECO:0000255|HAMAP-Rule:MF_01898},, PF00204;PF00986;PF02518;PF01751;, GO:0005694;GO:0005737;GO:0005524;GO:0003677;GO:0003918;GO:0046872;GO:0006265;GO:0006261;,  C:chromosome; C:cytoplasm;,  F:ATP binding; F:DNA binding; F:DNA topoisomerase type II (ATP-hydrolyzing) activity; F:metal ion binding;,  P:DNA topological change; P:DNA-dependent DNA replication;
contig-60_3532839,binary.seasonlate.and.fall,-7.598435053,3.867681285,16.76700799,4.23E-05,0.000829734,Q0I682,Aminomethyltransferase {ECO:0000255|HAMAP-Rule:MF_00259},Glycine cleavage system T protein {ECO:0000255|HAMAP-Rule:MF_00259};, PF01571;PF08669;, GO:0004047;GO:0008483;GO:0019464;, ,  F:aminomethyltransferase activity; F:transaminase activity;,  P:glycine decarboxylation via glycine cleavage system;
